lat,lng
-17.1259,-56.5786
-6.3624,-44.1433
-7.1771,-46.5735
-11.5438,-63.1113
-13.8093,-59.4705
-17.2202,-57.4255
-7.3205,-43.3111
-7.3196,-43.3163
-6.8876,-43.8806
-6.6258,-43.6004
-17.5320,-48.2499
-5.8212,-46.4753
-4.1706,-53.9233
-5.8217,-46.4720
-2.9125,-45.8805
-19.5745,-48.2613
-4.2815,-56.3872
-6.1224,-55.6998
-14.4194,-59.4396
-4.3752,-56.3076
-5.1473,-55.9796
-3.5241,-54.6252
-3.4028,-54.2787
-9.6559,-46.9638
-6.8946,-56.5899
-3.3917,-54.2842
-9.6485,-46.9775
-9.6490,-46.9740
-3.3922,-54.2807
-9.6495,-46.9705
-10.3141,-46.7536
-3.6189,-54.4334
-10.3198,-46.7536
-9.4514,-46.6908
-6.8912,-56.5894
-3.6222,-54.4340
-9.4519,-46.6872
-9.6471,-46.9882
-6.7881,-47.8812
-6.7884,-47.8750
-15.6813,-59.7957
-17.4567,-57.0427
-3.8583,-54.3743
-9.6651,-48.1010
-10.1657,-48.7991
-9.4011,-48.2224
-20.4092,-55.5115
-10.3173,-50.1931
-10.3179,-50.1887
-4.5141,-55.9839
-7.3429,-55.3572
-6.9029,-50.9936
-6.9924,-50.9428
-8.5035,-48.8734
-8.5082,-48.8741
-7.2897,-54.9806
-8.5129,-48.8749
-8.5170,-48.8806
-15.3215,-59.2870
-8.5995,-54.8595
-9.8226,-51.7782
-11.0620,-50.9078
-8.3539,-57.5937
-8.5572,-54.8610
-24.1686,-50.8443
-24.1741,-50.8418
-22.0455,-50.1774
-22.0458,-50.1742
-17.1800,-56.7700
-16.7400,-53.0900
-6.9000,-46.6500
-6.0100,-45.8900
-5.7988,-46.7997
-8.4722,-54.8329
-6.8800,-46.6500
-6.2700,-47.7100
-6.8800,-46.6500
-17.0400,-57.3700
-16.9400,-56.1200
-8.5100,-47.0000
-8.4100,-48.8200
-8.7800,-61.4400
-17.1800,-56.7700
-17.0300,-57.3900
-17.0400,-57.3700
-17.0400,-57.3700
-17.0300,-57.3900
-17.1800,-56.7500
-10.2600,-50.2100
-17.0400,-57.3700
-17.0300,-57.3900
-10.2400,-50.2400
-8.5000,-54.9000
-16.7400,-53.0700
-10.2400,-50.2600
-10.2200,-50.2600
-11.8930,-56.6400
-15.5800,-59.8400
-3.2300,-50.2800
-9.0900,-46.9400
-9.0900,-46.9600
-15.2480,-56.6940
-17.5700,-57.0540
-17.1800,-56.7500
-17.1800,-56.7700
-16.7400,-53.0700
-16.7400,-53.0900
-16.7200,-53.0700
-16.7200,-53.0900
-15.7400,-59.7400
-15.7200,-59.7500
-4.2650,-55.1550
-4.1950,-54.1270
-7.2820,-55.2970
-8.5770,-54.8860
-8.5860,-54.8880
-8.8560,-54.9280
-6.6520,-54.9460
-9.2590,-48.1962
-11.3249,-55.4468
-6.7260,-52.1680
-15.7312,-57.2684
-8.3986,-48.8189
-13.1945,-56.8109
-8.3980,-48.8227
-3.6847,-40.3734
-6.5455,-40.0177
-4.3825,-40.1147
-7.4557,-50.8355
-3.8597,-40.3534
-3.8569,-40.3492
-16.9114,-54.5567
-7.3827,-50.9694
-6.5023,-52.8964
-4.3529,-50.8375
-9.7710,-47.0923
-12.4184,-46.4919
-6.4791,-51.9434
-5.5141,-51.4101
-18.6668,-47.0597
-20.2989,-47.5971
-5.5926,-51.6742
-11.3680,-47.2279
-11.3779,-47.2243
-11.7944,-46.8003
-6.8979,-46.6523
-16.4282,-55.1446
-8.9619,-46.5876
-6.5105,-51.7961
-6.8840,-46.6681
-18.1966,-53.3614
-5.6841,-47.8339
-5.6779,-47.8220
-18.1976,-53.3563
-5.6767,-47.8290
-6.2873,-47.7133
-18.2002,-53.4428
-6.2850,-47.7027
-6.2833,-47.7127
-8.9423,-64.9522
-17.1339,-49.4986
-17.0057,-49.7829
-15.9451,-54.4434
-16.6639,-49.3815
-16.6602,-49.3807
-9.8467,-55.6583
-10.4400,-61.2800
-6.9000,-46.6700
-13.2000,-56.8200
-7.0400,-50.7400
-10.4400,-61.2600
-7.0400,-50.7600
-8.5035,-54.9070
-18.8800,-49.2100
-16.7400,-57.4600
-10.2400,-50.2400
-4.0370,-53.9910
-5.5150,-49.8260
-8.5820,-54.8920
-8.5730,-54.8940
-6.0000,-53.3720
-4.1940,-54.1280
-6.0090,-53.3700
-9.9360,-48.7830
-7.7480,-61.2840
-8.5600,-54.9020
-7.0650,-50.7530
-6.0870,-53.3990
-7.3760,-44.8900
-3.8140,-55.6810
-8.1020,-55.5700
-16.1000,-53.9200
-3.2500,-50.2600
-15.5800,-55.5000
-11.3200,-55.4300
-3.2300,-50.2800
-4.1700,-47.6400
-3.2300,-50.2600
-6.8800,-46.6800
-6.8800,-46.6300
-7.0600,-50.7400
